County,County Value
Texas,19%
Anderson,22%
Andrews,15%
Angelina,22%
Aransas,30%
Archer,12%
Armstrong,14%
Atascosa,23%
Austin,24%
Bailey,22%
Bandera,19%
Bastrop,18%
Baylor,21%
Bee,32%
Bell,20%
Bexar,22%
Blanco,13%
Borden,18%
Bosque,19%
Bowie,26%
Brazoria,13%
Brazos,17%
Brewster,21%
Briscoe,20%
Brooks^,47%
Brown,25%
Burleson,22%
Burnet,14%
Caldwell,21%
Calhoun,24%
Callahan,21%
Cameron,30%
Camp,28%
Carson,12%
Cass,27%
Castro,22%
Chambers,11%
Cherokee,23%
Childress,25%
Clay,15%
Cochran,39%
Coke,21%
Coleman,27%
Collin,5%
Collingsworth,26%
Colorado,21%
Comal,9%
Comanche,25%
Concho,36%
Cooke,19%
Coryell,16%
Cottle,32%
Crane,16%
Crockett,24%
Crosby,34%
Culberson,34%
Dallam,15%
Dallas,20%
Dawson,28%
Deaf Smith,22%
Delta,24%
Denton,8%
DeWitt,26%
Dickens,26%
Dimmit,35%
Donley,26%
Duval,39%
Eastland,20%
Ector,21%
Edwards,36%
El Paso,29%
Ellis,12%
Erath,15%
Falls,28%
Fannin,18%
Fayette,15%
Fisher,25%
Floyd,32%
Foard,28%
Fort Bend,10%
Franklin,20%
Freestone,19%
Frio,33%
Gaines,19%
Galveston,15%
Garza,27%
Gillespie,14%
Glasscock,12%
Goliad,21%
Gonzales,23%
Gray,20%
Grayson,15%
Gregg,23%
Grimes,21%
Guadalupe,13%
Hale,30%
Hall,39%
Hamilton,21%
Hansford,16%
Hardeman,25%
Hardin,17%
Harris,25%
Harrison,23%
Hartley,9%
Haskell,31%
Hays,8%
Hemphill,15%
Henderson,20%
Hidalgo,37%
Hill,21%
Hockley,20%
Hood,13%
Hopkins,18%
Houston,29%
Howard,22%
Hudspeth^,49%
Hunt,17%
Hutchinson,17%
Irion,10%
Jack,19%
Jackson,20%
Jasper,29%
Jeff Davis,37%
Jefferson,24%
Jim Hogg,42%
Jim Wells,36%
Johnson,13%
Jones,23%
Karnes,25%
Kaufman,12%
Kendall,9%
Kenedy,15%
Kent,16%
Kerr,19%
Kimble,32%
King,10%
Kinney,28%
Kleberg,30%
Knox,27%
La Salle,36%
Lamar,23%
Lamb,26%
Lampasas,19%
Lavaca,17%
Lee,18%
Leon,22%
Liberty,28%
Limestone,26%
Lipscomb,18%
Live Oak,27%
Llano,23%
Loving,7%
Lubbock,18%
Lynn,21%
Madison,21%
Marion,32%
Martin,18%
Mason,21%
Matagorda,27%
Maverick,31%
McCulloch,30%
McLennan,19%
McMullen,19%
Medina,17%
Menard,35%
Midland,14%
Milam,25%
Mills,23%
Mitchell,23%
Montague,18%
Montgomery,11%
Moore,14%
Morris,28%
Motley,32%
Nacogdoches,29%
Navarro,34%
Newton,29%
Nolan,25%
Nueces,25%
Ochiltree,16%
Oldham,28%
Orange,19%
Palo Pinto,24%
Panola,19%
Parker,10%
Parmer,19%
Pecos,24%
Polk,31%
Potter,28%
Presidio,38%
Rains,21%
Randall,8%
Reagan,15%
Real,36%
Red River,27%
Reeves,28%
Refugio,28%
Roberts,13%
Robertson,27%
Rockwall,6%
Runnels,24%
Rusk,22%
Sabine,27%
San Augustine,32%
San Jacinto,27%
San Patricio,24%
San Saba,28%
Schleicher,23%
Scurry,21%
Shackelford,20%
Shelby,27%
Sherman,15%
Smith,17%
Somervell,13%
Starr,40%
Stephens,26%
Sterling,17%
Stonewall,20%
Sutton,22%
Swisher,27%
Tarrant,14%
Taylor,20%
Terrell,23%
Terry,30%
Throckmorton,19%
Titus,22%
Tom Green,17%
Travis,12%
Trinity,28%
Tyler,25%
Upshur,21%
Upton,23%
Uvalde,39%
Val Verde,30%
Van Zandt,17%
Victoria,20%
Walker,21%
Waller,18%
Ward,20%
Washington,19%
Webb,27%
Wharton,21%
Wheeler,22%
Wichita,21%
Wilbarger,24%
Willacy,36%
Williamson,7%
Wilson,13%
Winkler,19%
Wise,12%
Wood,18%
Yoakum,18%
Young,22%
Zapata^,47%
Zavala,42%
