County,County Value
Washington,12%
Adams,17%
Asotin,20%
Benton,13%
Chelan,12%
Clallam,16%
Clark,9%
Columbia,18%
Cowlitz,17%
Douglas,12%
Ferry,27%
Franklin,13%
Garfield,18%
Grant,17%
Grays Harbor,26%
Island,8%
Jefferson,16%
King,9%
Kitsap,11%
Kittitas,11%
Klickitat,18%
Lewis,15%
Lincoln,14%
Mason,16%
Okanogan,21%
Pacific,18%
Pend Oreille,24%
Pierce,10%
San Juan,12%
Skagit,13%
Skamania,13%
Snohomish,8%
Spokane,15%
Stevens,18%
Thurston,10%
Wahkiakum,21%
Walla Walla,14%
Whatcom,11%
Whitman,11%
Yakima,21%
